iter	WKappa	MultiClass
97	0.4847709699	-1.032298527
98	0.4855067183	-1.031721488
99	0.4847324453	-1.03125923
100	0.4849764207	-1.030746809
101	0.4856863411	-1.030269028
102	0.4849716628	-1.029774946
103	0.4870864635	-1.029339172
104	0.4891323388	-1.028940116
105	0.4892249919	-1.028485915
106	0.4894108747	-1.028149188
107	0.4898380478	-1.027777781
108	0.4903856429	-1.027390003
109	0.4909375478	-1.027108808
110	0.4925260992	-1.02641054
111	0.4927170655	-1.026117813
112	0.4922866541	-1.025726149
113	0.4940769176	-1.025337182
114	0.4943487612	-1.024919379
115	0.4942627165	-1.024566026
116	0.4948224358	-1.024331515
117	0.4948382439	-1.024102399
118	0.4946253436	-1.023400337
119	0.4941801904	-1.022920226
120	0.4944233764	-1.022678129
121	0.4955643556	-1.02208051
122	0.4960882988	-1.021751939
123	0.4967369209	-1.021263243
124	0.4963082973	-1.020927068
125	0.4969244458	-1.020622206
126	0.4971295265	-1.020278544
127	0.4972180778	-1.019834096
128	0.4971837138	-1.019559249
129	0.4976539	-1.019285511
130	0.498487502	-1.018827879
131	0.4984475139	-1.018337943
132	0.4998022577	-1.017976061
133	0.4998850258	-1.017693897
134	0.5002867162	-1.01745871
135	0.5002389502	-1.017334881
136	0.50054247	-1.016939955
137	0.5005995709	-1.016663408
138	0.5001460502	-1.01654422
139	0.5003258362	-1.016191567
140	0.5004154834	-1.015994956
141	0.5006267222	-1.015722041
142	0.5005076083	-1.015371928
143	0.5003872911	-1.01504131
144	0.5023214797	-1.014671178
145	0.502363446	-1.014384847
146	0.5023830687	-1.014213264
147	0.5027505403	-1.01410743
148	0.5031266554	-1.013727324
149	0.5035614855	-1.013455738
150	0.5038339664	-1.013186789
151	0.504232348	-1.012925441
152	0.5044446621	-1.0126284
153	0.5044405374	-1.012220509
154	0.5046439268	-1.012020597
155	0.5054434811	-1.01177108
156	0.505953807	-1.011578838
157	0.506139714	-1.011332044
158	0.5060846827	-1.011094784
159	0.5064905549	-1.010773761
160	0.5066380877	-1.010621628
161	0.5068781379	-1.01049161
162	0.5065296809	-1.010231217
163	0.5064900215	-1.009997604
164	0.5062422146	-1.009809968
165	0.5068283968	-1.009561632
166	0.5064061647	-1.009367182
167	0.5069481613	-1.009157312
168	0.5067798986	-1.008715839
169	0.5069280027	-1.008546466
170	0.5074662731	-1.008322997
171	0.509637463	-1.007999901
172	0.5091982386	-1.007818867
173	0.5103614983	-1.007622886
174	0.5102443228	-1.007449539
175	0.510568933	-1.007263771
176	0.5111911839	-1.007135166
177	0.5109747071	-1.006914847
178	0.5111700822	-1.00670844
179	0.5111295194	-1.006402802
180	0.5105806993	-1.006001228
181	0.5103326192	-1.005776425
182	0.5102179934	-1.005634953
183	0.5109338862	-1.005474936
184	0.5109308686	-1.005343759
185	0.5110150892	-1.00512913
186	0.511820979	-1.004696992
187	0.511634465	-1.004438682
188	0.5112375727	-1.004193129
189	0.5117532215	-1.003988996
190	0.512043332	-1.003727971
191	0.5118148786	-1.00346268
192	0.5120403701	-1.003258707
193	0.5121697273	-1.00314063
194	0.5117878057	-1.002910753
195	0.512383199	-1.002583959
196	0.5127320097	-1.002214785
197	0.5123680639	-1.001933623
198	0.5131478369	-1.001653109
199	0.5128774849	-1.001378944
200	0.51353079	-1.001226931
201	0.5133653504	-1.00109201
202	0.5132634407	-1.00093694
203	0.5134648442	-1.000839301
204	0.5131446048	-1.000560771
205	0.5133171249	-1.000336297
206	0.5132886077	-1.000092833
207	0.5136377216	-0.9998613375
208	0.513827838	-0.9996342938
209	0.5144078876	-0.999296577
210	0.5139563721	-0.99915011
211	0.5137067071	-0.9989875371
212	0.5144609673	-0.9988237109
213	0.5148138334	-0.9985678467
214	0.515745239	-0.9982845094
215	0.5158990223	-0.9980003698
216	0.5164119299	-0.9978275584
217	0.5158143479	-0.9977563763
218	0.5160421168	-0.9975957747
219	0.5159344094	-0.997213135
220	0.5158484963	-0.9970943445
221	0.5163573647	-0.9968764277
222	0.5169241423	-0.996737517
223	0.5163373772	-0.9964692296
224	0.5167351762	-0.9963294921
225	0.5172072265	-0.9962647767
226	0.5173755496	-0.9960204794
227	0.5177542766	-0.9958114197
228	0.517683556	-0.9956734491
229	0.5178420444	-0.9955870528
230	0.5184060307	-0.9954139387
231	0.518668234	-0.9953455914
232	0.5183316531	-0.9950895378
233	0.5187095115	-0.9949396474
234	0.5187337075	-0.9946721331
235	0.5194840521	-0.9944806842
236	0.5193998913	-0.9943221595
237	0.5200137942	-0.9940948739
238	0.5202688979	-0.9938522132
239	0.5195197992	-0.993651915
240	0.5190673905	-0.9934007302
241	0.5193294832	-0.9932478231
242	0.5192669559	-0.9930363947
243	0.5193823748	-0.9928396754
244	0.519602358	-0.992652089
245	0.5195506509	-0.9925262888
246	0.519854745	-0.9923734555
247	0.520117335	-0.9921300949
248	0.5202040359	-0.9919700486
249	0.5202811638	-0.9917777891
250	0.521057694	-0.9915243633
251	0.5211839252	-0.9913972332
252	0.5209504523	-0.991233514
253	0.520401019	-0.9910519116
254	0.520158177	-0.9908888773
255	0.5209172821	-0.9906771191
256	0.521078588	-0.9905569824
257	0.5200785023	-0.9903514526
258	0.521008974	-0.9902021486
259	0.5209713607	-0.9900776481
260	0.5214760884	-0.9898895952
261	0.521267724	-0.9897282713
262	0.5212098159	-0.9896361123
263	0.5212794788	-0.9894531795
264	0.5213171072	-0.9892381097
265	0.5219130673	-0.9891136025
266	0.5222080559	-0.9889258275
267	0.5219977138	-0.9886930909
268	0.5221165248	-0.9885823329
269	0.5223487735	-0.9884392973
270	0.5226335617	-0.9882927052
271	0.5225281194	-0.9880798189
272	0.5225564426	-0.9879443165
273	0.5227907926	-0.9877430718
274	0.5230056806	-0.987579628
275	0.5234177327	-0.987402828
276	0.5233431725	-0.9870430549
277	0.5233876589	-0.9869567705
278	0.5233339329	-0.986893132
279	0.5234646239	-0.9867673669
280	0.5233804489	-0.9866327276
281	0.5236405025	-0.9865042438
282	0.5241321724	-0.9863533781
283	0.5239855514	-0.9862051762
284	0.52444408	-0.9860434232
285	0.5249353955	-0.9858646433
286	0.5246784078	-0.9856582696
287	0.524930981	-0.9855108063
288	0.5251654642	-0.9854345411
289	0.5250742911	-0.9853016104
290	0.5255133456	-0.9850091158
291	0.525699565	-0.9849302899
292	0.5257483778	-0.9847938354
293	0.5256088098	-0.9845585833
294	0.5258485878	-0.9844387756
295	0.5259613685	-0.9842361451
296	0.5262720752	-0.9838888105
297	0.5259757712	-0.9836726436
298	0.5260975965	-0.9835709241
299	0.5259203328	-0.9834627637
300	0.5262615005	-0.9833339965
301	0.5272536343	-0.9832051892
302	0.5271871018	-0.9829698971
303	0.5270940991	-0.9827515156
304	0.5270076969	-0.9826204899
305	0.5273799133	-0.9824396034
306	0.5275175535	-0.9822745496
307	0.5272938054	-0.9820811813
308	0.5273337033	-0.9819793003
309	0.5273403599	-0.9817676097
310	0.5273846675	-0.9816053315
311	0.5274754578	-0.9815115161
312	0.5271917518	-0.9813405374
313	0.5272715521	-0.9812953578
314	0.5278144096	-0.9810632206
315	0.5284190227	-0.9809646337
316	0.5288647263	-0.9808073926
317	0.528698471	-0.9806060596
318	0.5285280893	-0.9803847616
319	0.5291110874	-0.9802015255
320	0.5295828634	-0.9800902496
321	0.5308558427	-0.9799012883
322	0.5311338255	-0.9796144862
323	0.5311544642	-0.9794430473
324	0.5310361954	-0.9792935827
325	0.5321710577	-0.9789348848
326	0.5317793027	-0.978842679
327	0.532032434	-0.978756549
328	0.5323990392	-0.9786636587
329	0.5332403745	-0.9785364746
330	0.5328077339	-0.9783541911
331	0.533357007	-0.9782335396
332	0.5334010208	-0.9780935799
333	0.5337774846	-0.9777611677
334	0.5346845119	-0.977658268
335	0.5343377691	-0.9774416081
336	0.5342381039	-0.9772811453
337	0.5342690941	-0.9771536196
338	0.5344517092	-0.9769665268
339	0.534607094	-0.9768473688
340	0.5351499494	-0.9767026665
341	0.5351877214	-0.9765227917
342	0.5349877398	-0.9762610742
343	0.5357777225	-0.9761563142
344	0.5357154962	-0.976050916
345	0.5365419402	-0.9758238781
346	0.5370954479	-0.9757586268
347	0.5375474793	-0.975671444
348	0.5376806138	-0.9753942279
349	0.5383797344	-0.9751118905
350	0.5381305517	-0.9749589666
351	0.5388232918	-0.9747556938
352	0.5388028568	-0.974585746
353	0.5387531686	-0.9744387986
354	0.5388476046	-0.9742579336
355	0.5388476046	-0.9740668344
356	0.5389495897	-0.9738320042
357	0.5391370426	-0.9735682647
358	0.5391791459	-0.9733138961
359	0.5396273048	-0.9731380949
360	0.539753642	-0.9730643447
361	0.5406742909	-0.9728936133
362	0.5404395393	-0.9725976853
363	0.5413587702	-0.9724067869
364	0.5409814053	-0.9722743468
365	0.5409694456	-0.9719623997
366	0.5403429574	-0.9716688027
367	0.540111747	-0.9714900699
368	0.540748025	-0.9713504744
369	0.5412389359	-0.9711185045
370	0.5403760795	-0.9708933402
371	0.5405753459	-0.9707769985
372	0.5403605605	-0.9706311345
373	0.540520432	-0.9704582717
374	0.5407057292	-0.9702633404
375	0.5413015252	-0.9701799891
376	0.5416629924	-0.969846814
377	0.5414657159	-0.969683259
378	0.5420916808	-0.9695685459
379	0.5414672307	-0.9693465458
380	0.5416883161	-0.9690504942
381	0.5419774618	-0.9688399129
382	0.5416309461	-0.9685549845
383	0.5415422335	-0.9684050773
384	0.5415294521	-0.9682448439
385	0.5415727923	-0.9681060019
386	0.5416920827	-0.9678732679
387	0.5418269008	-0.9677448784
388	0.5417780218	-0.9675075547
389	0.5418664642	-0.9673945505
390	0.5415880883	-0.9672407403
391	0.541682312	-0.9671011059
392	0.5421468676	-0.9669270707
393	0.5428847947	-0.966745745
394	0.5424535801	-0.9665662152
395	0.5428424249	-0.9663357195
396	0.5428423334	-0.966031748
397	0.5433658261	-0.9657987933
398	0.5434656316	-0.9656612476
399	0.5439976809	-0.9654331882
400	0.5442883178	-0.9651450994
401	0.5443317027	-0.9648938135
402	0.5441673791	-0.9647885402
403	0.5441197312	-0.9646837593
404	0.5444988066	-0.9646159862
405	0.5450911527	-0.9645254696
406	0.5448413433	-0.9642815246
407	0.5450715217	-0.9641076794
408	0.5447163473	-0.9638591711
409	0.5453954725	-0.9637200552
410	0.5455276115	-0.9635150118
411	0.5456986644	-0.9633906215
412	0.5455978483	-0.9631878231
413	0.5453735391	-0.9630747063
414	0.5451486213	-0.9627926291
415	0.5453983768	-0.9627560208
416	0.5454773245	-0.962563845
417	0.5452089721	-0.962390424
418	0.5453033045	-0.9622169962
419	0.5446603352	-0.9621411141
420	0.5451279293	-0.9620133685
421	0.5448105719	-0.961925397
422	0.5449242326	-0.9617774219
423	0.5454293952	-0.9615970828
424	0.5453748619	-0.961434457
425	0.5458339621	-0.9611901323
426	0.5452919481	-0.9609914656
427	0.5458463059	-0.9608791233
428	0.5462240482	-0.9607318059
429	0.5469640397	-0.9605775803
430	0.547382249	-0.9603737066
431	0.5472174739	-0.9603019181
432	0.5475068304	-0.9600275674
433	0.5473366183	-0.9599440643
434	0.5472439806	-0.959757051
435	0.5473257498	-0.9596000175
436	0.5481928309	-0.9594437605
437	0.5483702301	-0.9592406284
438	0.5482752395	-0.9590329783
439	0.5485046372	-0.958823648
440	0.5483510823	-0.9586564152
441	0.5472103081	-0.9585228023
442	0.5470388814	-0.9583657354
443	0.5472415429	-0.9582188244
444	0.5474033653	-0.9580949127
445	0.5477487645	-0.9578756657
446	0.5479497757	-0.9577904798
447	0.5490822026	-0.9575900369
448	0.5494612844	-0.9573409563
449	0.5495011655	-0.9572185315
450	0.5494180406	-0.9570011732
451	0.5493747925	-0.9568342157
452	0.5491967766	-0.9566197099
453	0.5494517841	-0.956399451
454	0.5494570953	-0.9563637476
455	0.5492844222	-0.9560950603
456	0.5494244769	-0.9559524404
457	0.5489527947	-0.9556880712
458	0.5499047816	-0.9554858584
459	0.5500342323	-0.9553468883
460	0.5502446912	-0.9552255951
461	0.5504142847	-0.9550730601
462	0.5506691044	-0.9549160534
463	0.5505057288	-0.9548192251
464	0.5506300104	-0.9547585512
465	0.5507616703	-0.9545843573
466	0.5507786873	-0.9544208439
467	0.5512137055	-0.9543074537
468	0.5517120279	-0.9540521459
469	0.5513801378	-0.9539088958
470	0.5512527027	-0.9538683056
471	0.5514118755	-0.9538253176
472	0.5511064711	-0.9536479901
473	0.5514332246	-0.9535306412
474	0.5516048691	-0.9534037822
475	0.551386902	-0.9532995803
476	0.5519010287	-0.9531450333
477	0.5516334832	-0.9530042472
478	0.551941218	-0.9529540658
479	0.5518918928	-0.9528280385
480	0.5515767859	-0.952641224
481	0.5519223752	-0.952454626
482	0.5517022907	-0.9522216277
483	0.5514691591	-0.9521291862
484	0.5512745589	-0.9519769272
485	0.5513513913	-0.9518750575
486	0.551571496	-0.9517341439
487	0.5518273861	-0.9514825766
488	0.5523198285	-0.9513122909
489	0.5524791139	-0.9511669269
490	0.5518941945	-0.9510036075
491	0.5521399383	-0.950811381
492	0.5522193129	-0.9506488083
493	0.5523058428	-0.9504669207
494	0.5523036408	-0.9503076949
495	0.5530191088	-0.9500967466
496	0.552420824	-0.9500149852
497	0.5524536838	-0.9498490391
498	0.5523303608	-0.949801491
499	0.5529162455	-0.9495918331
500	0.5523632181	-0.9495123264
501	0.5527383034	-0.9494191948
502	0.552748551	-0.9493086425
503	0.5525779662	-0.9492444693
504	0.5529657809	-0.9491160222
505	0.5525080752	-0.9488644457
506	0.5528824048	-0.9487484778
507	0.5530542712	-0.9486426669
508	0.5533040349	-0.9484977572
509	0.5531807652	-0.9483819723
510	0.5531474647	-0.9483188683
511	0.5531701681	-0.9481414142
512	0.5530797967	-0.948051447
513	0.5533971609	-0.9478822944
514	0.5531002092	-0.9477705097
515	0.5527648775	-0.9476872877
516	0.5533563733	-0.9476030726
517	0.5531886799	-0.9475622297
518	0.5533883609	-0.9474416433
519	0.5537316429	-0.9473822668
520	0.5536473259	-0.9472358858
521	0.5536945518	-0.9471421784
522	0.5539415334	-0.9469818259
523	0.5537687383	-0.9469061433
524	0.5541867888	-0.9467210994
525	0.5541033443	-0.9465864479
526	0.5537998675	-0.9464579102
527	0.5538136235	-0.9462853637
528	0.5538914386	-0.9461188381
529	0.5536366975	-0.9459966506
530	0.555149313	-0.9458914807
531	0.5548054815	-0.9457199968
532	0.5543441645	-0.9455835166
533	0.5547583224	-0.9454138869
534	0.5544649748	-0.9453061011
535	0.5544042313	-0.9451287755
536	0.5539587867	-0.9450029312
537	0.5552120933	-0.9448693063
538	0.5550079727	-0.9445912818
539	0.5544193096	-0.9444911339
540	0.5542996266	-0.9443330904
541	0.5547939126	-0.9441682752
542	0.5545138932	-0.9440296928
543	0.5546128646	-0.9438000391
544	0.5546880217	-0.9436835416
545	0.5547723371	-0.9436002073
546	0.5546028371	-0.9434683974
547	0.5552286321	-0.943302589
548	0.5548044903	-0.9431562713
549	0.5545928073	-0.9430924188
550	0.5547590452	-0.9430203627
551	0.5550078696	-0.9429206977
552	0.5552427238	-0.9426999318
553	0.5559543583	-0.9423944896
554	0.5557799884	-0.9422588611
555	0.5558130696	-0.9419947125
556	0.5562297602	-0.9418201309
557	0.556237232	-0.941671282
558	0.5563580314	-0.9415318753
559	0.5558809604	-0.9414380618
560	0.5562762496	-0.9413589659
561	0.5561324076	-0.9411908138
562	0.556357089	-0.9411318512
563	0.5566579949	-0.9410037906
564	0.5570838466	-0.9408465322
565	0.556457723	-0.9406810807
566	0.5567107179	-0.9405672712
567	0.5567991748	-0.9403996287
568	0.5571372427	-0.9402608887
569	0.5570032573	-0.9401920256
570	0.556842858	-0.9400602267
571	0.557307368	-0.9398801691
572	0.5576039249	-0.9397725142
573	0.5579750937	-0.9396904259
574	0.5577109954	-0.9395523524
575	0.557495387	-0.939377959
576	0.5580372805	-0.9391074102
577	0.5583799544	-0.9390021866
578	0.5581534789	-0.9387774138
579	0.5583594106	-0.9386874795
580	0.5583974493	-0.9385680092
581	0.5585924329	-0.9384173455
582	0.5583347554	-0.9383276343
583	0.5585455038	-0.9382030864
584	0.5590126015	-0.9381361886
585	0.558651005	-0.9379266097
586	0.5589330584	-0.9377932991
587	0.5588189263	-0.9376826849
588	0.5587720099	-0.9376482116
589	0.5591064032	-0.937523114
590	0.5590180076	-0.9374582662
591	0.559263966	-0.9373449304
592	0.5595114747	-0.9372598591
593	0.5598521433	-0.9372069386
594	0.559761823	-0.9370498244
595	0.5599737829	-0.9369389129
596	0.560650495	-0.9368142606
597	0.5605333712	-0.9367065225
598	0.5605257708	-0.9365890619
599	0.5606464068	-0.9364246567
600	0.5608267132	-0.9363308509
601	0.5609034065	-0.9361898117
602	0.5610826172	-0.9360570378
603	0.5609572001	-0.9359505802
604	0.5614051764	-0.9356535493
605	0.561364088	-0.9355087472
606	0.5611163309	-0.9354170276
607	0.5613656956	-0.935323579
608	0.5615569126	-0.9352173542
609	0.5614268963	-0.9351413188
610	0.5608144531	-0.9347777276
611	0.5607301444	-0.9346887064
612	0.5610396445	-0.934511651
613	0.5610396445	-0.9343377648
614	0.5613208556	-0.9341967122
615	0.5605724474	-0.9339843807
616	0.5604922342	-0.9338889871
617	0.5605020024	-0.9337908939
618	0.5605378976	-0.9336978273
619	0.5605794757	-0.9336670959
620	0.5608751186	-0.9334991948
621	0.5615490337	-0.9334103327
622	0.5616790561	-0.9333256995
623	0.5615633776	-0.9332057399
624	0.5616049989	-0.9330578162
625	0.5617747182	-0.9329554586
626	0.5616543356	-0.9327730056
627	0.5618148147	-0.9327047495
628	0.5617315314	-0.9325092783
629	0.5621525882	-0.932381134
630	0.5623553744	-0.9322549516
631	0.5620692757	-0.9320921098
632	0.5620122313	-0.9319242561
633	0.5624042342	-0.9318382808
634	0.5629451535	-0.9317723072
635	0.5631983474	-0.9317016557
636	0.5633155328	-0.9315970377
637	0.5629353115	-0.9315716156
638	0.5630273937	-0.9314259947
639	0.5629521665	-0.9312787009
640	0.5638851389	-0.9311594055
641	0.5635228762	-0.9310109801
642	0.5635987088	-0.9309111255
643	0.5642370849	-0.9308201291
644	0.5642419333	-0.9307464806
645	0.5641534816	-0.9306407124
646	0.5639765732	-0.9305605878
647	0.5640143035	-0.9304494265
648	0.5638819007	-0.9303891345
649	0.5640936952	-0.9302513017
650	0.5638737755	-0.9300762919
651	0.564085977	-0.9299948009
652	0.5642682879	-0.9298855998
653	0.5640155206	-0.9297310962
654	0.5641223583	-0.9296653365
655	0.5645442707	-0.9294252807
656	0.5644546799	-0.9293150141
657	0.5643424119	-0.9292810334
658	0.5642675014	-0.9291365867
659	0.5647276428	-0.928960469
660	0.5646476728	-0.9289308308
661	0.5646894979	-0.9288749281
662	0.5646043453	-0.9286342234
663	0.5644788825	-0.9285154009
664	0.5647016629	-0.9283909681
665	0.5650692948	-0.9283211522
666	0.5652491073	-0.9282321738
667	0.5653301529	-0.9281123599
668	0.5656265527	-0.9280623934
669	0.5654229924	-0.9278895497
670	0.565211645	-0.9277954079
671	0.5650806335	-0.9276672943
672	0.5652035439	-0.9274616427
673	0.5648314595	-0.9273354058
674	0.5656758694	-0.9271583053
675	0.5659541804	-0.9270567308
676	0.5656345088	-0.9269026381
677	0.5655457096	-0.9267947158
678	0.5654987827	-0.9267368615
679	0.5658784251	-0.9266655527
680	0.5661363879	-0.9264881554
681	0.5660134801	-0.9263794471
682	0.5657980329	-0.9261742389
683	0.5658449294	-0.9260924858
684	0.5659380701	-0.9259925543
685	0.5659421145	-0.9259425003
686	0.5663451666	-0.9257913554
687	0.5661211208	-0.925724728
688	0.5662052435	-0.925645101
689	0.5661211208	-0.9254932953
690	0.5664455397	-0.9253989914
691	0.5663611002	-0.9253124117
692	0.5667373115	-0.9252382211
693	0.5664377446	-0.9251263621
694	0.5662278392	-0.9250434198
695	0.566181288	-0.9250158753
696	0.5665915767	-0.9249109597
697	0.5665993753	-0.9247897109
698	0.5671398252	-0.9246592863
699	0.5669335673	-0.9245549512
700	0.5669755168	-0.9244850655
701	0.5672740477	-0.9243888124
702	0.5673629996	-0.9242867318
703	0.5674433981	-0.9242269816
704	0.5675318583	-0.9241252957
705	0.5672742928	-0.9239178417
706	0.567143356	-0.9237706782
707	0.5672237618	-0.9236295513
708	0.5672320757	-0.9234740566
709	0.5677844867	-0.9234075639
710	0.567996429	-0.9232533864
711	0.5676625311	-0.9231190598
712	0.5675655521	-0.9230547816
713	0.5675691213	-0.9229315724
714	0.5679537934	-0.9228857548
715	0.5682917223	-0.922867157
716	0.5677040739	-0.9227060051
717	0.5677505446	-0.9226308491
718	0.567324817	-0.9224578997
719	0.5676288302	-0.9223319254
720	0.5677554581	-0.922216352
721	0.5674934398	-0.9220650555
722	0.5673198138	-0.9219872234
723	0.5673620368	-0.9219495726
724	0.5679989896	-0.9219031217
725	0.5682111179	-0.9217899475
726	0.5682679291	-0.9216500302
727	0.5688442698	-0.9215462506
728	0.5683276379	-0.9214496098
729	0.5685030376	-0.9214074321
730	0.5684604499	-0.9213322766
731	0.5680043042	-0.9212547473
732	0.5677961557	-0.9211704218
733	0.5679992319	-0.9210826686
734	0.5680499251	-0.92099795
735	0.5690511985	-0.9208484089
736	0.5690511985	-0.9208017041
737	0.5690007813	-0.9207025594
738	0.5690430072	-0.9206130186
739	0.5694622123	-0.9203809576
740	0.570095493	-0.9202625796
741	0.5705557969	-0.920044389
742	0.5706826574	-0.9198856456
743	0.5702987249	-0.9197719971
744	0.5701720043	-0.9197237214
745	0.5704595458	-0.919630003
746	0.5704253435	-0.9195204048
747	0.5703670336	-0.9193780532
748	0.5705861667	-0.9193357853
749	0.5709620952	-0.9192941126
750	0.5709660295	-0.9192486464
751	0.5708776174	-0.9191848111
752	0.5706967122	-0.9191173437
753	0.5706042081	-0.919023489
754	0.5710304599	-0.9188880577
755	0.570903899	-0.9188512037
756	0.5711148223	-0.9186028081
757	0.5709801318	-0.9184875999
758	0.5709337907	-0.9183960512
759	0.5711832094	-0.918260146
760	0.5714705356	-0.9181265399
761	0.5716394095	-0.9180744096
762	0.5714826307	-0.9180152942
763	0.571002052	-0.9178064853
764	0.5712556041	-0.917679462
765	0.5709640769	-0.917519062
766	0.5715088397	-0.9174671934
767	0.5713358666	-0.9173903377
768	0.5716656096	-0.9172784369
769	0.5720919508	-0.9171623003
770	0.5720537201	-0.9170773161
771	0.5721461638	-0.9170139259
772	0.5723572736	-0.9169126674
773	0.5726528606	-0.9168159604
774	0.5723190399	-0.9167157302
775	0.5724074766	-0.916608884
776	0.5726146184	-0.9165078755
777	0.572775556	-0.9163771479
778	0.5732399465	-0.9162660479
779	0.5733628026	-0.9161156227
780	0.5733244977	-0.9159466069
781	0.5733205738	-0.9158467764
782	0.573658194	-0.9157153008
783	0.5735314627	-0.9156208343
784	0.5736964432	-0.9154826668
785	0.5739115291	-0.9154247695
786	0.5737887576	-0.9153442459
787	0.57451279	-0.9151571673
788	0.5740482412	-0.9150525155
789	0.5739334898	-0.9150299954
790	0.5740518535	-0.9148880573
791	0.5742090932	-0.9147397068
792	0.573897912	-0.9146076187
793	0.5737210526	-0.9145284708
794	0.5735099711	-0.9143470457
795	0.5735139469	-0.9142363891
796	0.5732448489	-0.9139764033
797	0.5734177301	-0.9138899243
798	0.5732567863	-0.9137612478
799	0.5733371782	-0.9136833075
800	0.5733834476	-0.9136671874
801	0.5736250128	-0.9136191352
802	0.5736711579	-0.9134651484
803	0.57392053	-0.9132362689
804	0.5739166402	-0.9131417834
805	0.5743772979	-0.9130412071
806	0.5741542847	-0.9130033682
807	0.5741662923	-0.9128966818
808	0.5743734346	-0.9127790817
809	0.5751822317	-0.9126147836
810	0.5748639793	-0.9125264406
811	0.5748984222	-0.9124896785
812	0.575059465	-0.9123706439
813	0.5757015314	-0.912287459
814	0.5760237007	-0.912167263
815	0.5751068021	-0.9120865158
816	0.5754747733	-0.9118936048
817	0.575263653	-0.9118671912
818	0.5754788929	-0.9117773424
819	0.5755520174	-0.9117073187
820	0.5756931217	-0.911630444
821	0.5757146698	-0.9114819674
822	0.5755559772	-0.9113315003
823	0.5756169141	-0.9112606248
824	0.5759571484	-0.9110112175
825	0.575588295	-0.9108673932
826	0.5761765862	-0.9107249096
827	0.576298836	-0.9106304938
828	0.5759724204	-0.9105404904
829	0.5762216283	-0.9104075863
830	0.5768475637	-0.9102878795
831	0.5768933068	-0.9102513388
832	0.5769738644	-0.9101936948
833	0.5770061345	-0.9099777887
834	0.5769722403	-0.9099079423
835	0.5769824579	-0.9098506645
836	0.5769320759	-0.9096576407
837	0.5766873152	-0.9096019039
838	0.5763044454	-0.9095041382
839	0.5766689861	-0.909407024
840	0.5766088318	-0.9092793765
841	0.5766473629	-0.9092024844
