iter	CatBoostOptimizedQWKMetric	RMSE
96	0.5574898411	0.3425832319
97	0.5585836971	0.3423150986
98	0.5594886267	0.3418302348
99	0.5606472853	0.341595723
100	0.5606514772	0.3414457512
101	0.5618487596	0.3410330943
102	0.5634610992	0.3406293327
103	0.563993612	0.3404377381
104	0.5643856511	0.3402092416
105	0.5656476908	0.3399357722
106	0.5675314546	0.3395309126
107	0.5683870255	0.3392425329
108	0.5693037971	0.3390321787
109	0.5722788147	0.3387486998
110	0.5733186052	0.3385443215
111	0.5738863831	0.3382498594
112	0.575007424	0.3380395178
113	0.5763931703	0.3378176739
114	0.5759907427	0.3375478071
115	0.57757683	0.3372843384
116	0.5775930382	0.3370928386
117	0.5780214059	0.3369747212
118	0.5797143807	0.3367864838
119	0.5804080596	0.3366617563
120	0.5820422607	0.33649621
121	0.5831868354	0.3363313793
122	0.5834977088	0.3362192718
123	0.5840974322	0.3359975356
124	0.5846443588	0.3359113558
125	0.5852232736	0.3358223417
126	0.5861646541	0.3356288932
127	0.5866227397	0.3354835668
128	0.58717205	0.335363627
129	0.5876007857	0.3352340591
130	0.5880700201	0.3351543408
131	0.5882503873	0.3350186017
132	0.5891222019	0.3349139129
133	0.5894121802	0.334818912
134	0.5897799346	0.3347375917
135	0.5907857934	0.3345418079
136	0.5906982945	0.334442205
137	0.5911680944	0.3343335829
138	0.5915906527	0.3342528083
139	0.5917644683	0.3341623136
140	0.5919359882	0.3340772274
141	0.5923931922	0.333908287
142	0.5931718281	0.3338244535
143	0.5927890295	0.3337554442
144	0.5931228518	0.333655306
145	0.5937100517	0.3335728778
146	0.5934841877	0.3335019443
147	0.5944230553	0.3334403769
148	0.5942450856	0.3333827704
149	0.5944995999	0.3332145699
150	0.5946987217	0.3330402251
151	0.5951620325	0.332979008
152	0.595148343	0.332892231
153	0.5957022956	0.3327038283
154	0.5959567643	0.3326565673
155	0.5961359589	0.3325680373
156	0.5956747139	0.332485986
157	0.5960815637	0.3324046233
158	0.5966256287	0.332319836
159	0.5956109213	0.3321668024
160	0.5955706463	0.3320938959
161	0.5961631013	0.3320523028
162	0.5967093566	0.331951925
163	0.5966987849	0.3318982529
164	0.5966569667	0.3317881405
165	0.5970522456	0.3317147111
166	0.5960977842	0.3316470355
167	0.5965453843	0.3315207207
168	0.5965601481	0.33141447
169	0.595706635	0.3313274755
170	0.595964141	0.3313182781
171	0.5960955094	0.3312042943
172	0.5964389025	0.3311331151
173	0.5968605949	0.331067003
174	0.5977203971	0.33098054
175	0.5974492888	0.3309702182
176	0.5975124041	0.3308591789
177	0.5975495525	0.3308283948
178	0.5980829289	0.3307976269
179	0.5983388762	0.3306717312
180	0.5989120039	0.3306140091
181	0.5987968348	0.3305569983
182	0.5993816407	0.3305011687
183	0.5989608921	0.3304807413
184	0.5990681428	0.3304308624
185	0.5989952544	0.3303545159
186	0.599147773	0.3303008064
187	0.5998487146	0.3302377023
188	0.5999202212	0.3301414028
189	0.5995278124	0.3300918099
190	0.6001505089	0.3300409117
191	0.5996900059	0.3299741159
192	0.600009769	0.3299286414
193	0.6004477619	0.3298621635
194	0.6007871739	0.3298202907
195	0.6008721492	0.3297408079
196	0.6013275364	0.3296911059
197	0.6012035092	0.3296611018
198	0.6014443266	0.3295773197
199	0.601249697	0.3295252828
200	0.6017376082	0.3294886582
201	0.6014511287	0.3294319765
202	0.6015380569	0.3293687494
203	0.6019304075	0.3293237169
204	0.6020580411	0.3292670245
205	0.6021499689	0.3292400504
206	0.6020471536	0.3291860638
207	0.6026834589	0.3291338378
208	0.6024570044	0.3290843497
209	0.6026355763	0.3290082141
210	0.6026298479	0.328986282
211	0.6029745051	0.3289349359
212	0.6039429521	0.3288953631
213	0.603860323	0.3288603312
214	0.6044782389	0.3287996329
215	0.6049076325	0.3287567987
216	0.6052561299	0.328709622
217	0.6057285182	0.3286126094
218	0.6054551255	0.3285733711
219	0.6058968861	0.3285128926
220	0.6061624786	0.3284512727
221	0.6050153815	0.3284095903
222	0.6061380386	0.3283815654
223	0.6062121331	0.3283461141
224	0.6064009733	0.3283013872
225	0.6067342177	0.328244247
226	0.606683485	0.3281725097
227	0.6066744864	0.3281262003
228	0.6065055424	0.3280652934
229	0.6066688499	0.3280341993
230	0.6064756066	0.328015083
231	0.6069744827	0.3279422922
232	0.6072264773	0.327913152
233	0.6066908394	0.3278698896
234	0.6071248248	0.3278457857
235	0.6070186236	0.3277821941
236	0.6068881899	0.3277666142
237	0.6066791888	0.3277305058
238	0.6070973381	0.3276529264
239	0.6072363324	0.3275996917
240	0.6075791757	0.3275546974
241	0.6074730452	0.3275266575
242	0.6076338047	0.3274736434
243	0.6076859358	0.3274400027
244	0.6082366555	0.3273940528
245	0.6085943698	0.3272907723
246	0.6086637502	0.3272334194
247	0.6083794398	0.3271789929
248	0.6080819418	0.3271420026
249	0.6080557526	0.327092955
250	0.6083100429	0.3270345493
251	0.6085445918	0.3269946815
252	0.6087486758	0.3269558102
253	0.6090499655	0.3268352778
254	0.6088849684	0.3268086921
255	0.6095809109	0.3267345462
256	0.6094441369	0.3266882877
257	0.6092014771	0.3266334268
258	0.6092316878	0.3265813069
259	0.609738796	0.3265347903
260	0.6097038797	0.3264989767
261	0.6096239578	0.3264802078
262	0.6099232787	0.3264206849
263	0.6106877729	0.3263672163
264	0.6106748926	0.3263406725
265	0.6110386297	0.3263055132
266	0.6125867313	0.3262380674
267	0.6130933442	0.3261314961
268	0.6132424412	0.3261142533
269	0.6134247784	0.3260936939
270	0.6134092689	0.3260497461
271	0.6134504712	0.3260287512
272	0.6137360801	0.325942606
273	0.6119220545	0.3259055874
274	0.6118363077	0.3258891483
275	0.6139362037	0.3258375109
276	0.6139180823	0.3258271949
277	0.6139090177	0.3257815658
278	0.6139372431	0.3257591632
279	0.6137530804	0.3256926652
280	0.6143952433	0.3256446721
281	0.6145046875	0.3256071964
282	0.6146367512	0.325576264
283	0.6149378099	0.3255424472
284	0.6149516864	0.3254838003
285	0.6151046922	0.3254461881
286	0.6150924268	0.3253613056
287	0.6155555844	0.3252940295
288	0.615919944	0.3252444176
289	0.6159093204	0.3251818146
290	0.6159210588	0.3251219392
291	0.6161362788	0.3250889897
292	0.616181613	0.3250868603
293	0.6156969308	0.3250550207
294	0.6160050412	0.324986205
295	0.6160270789	0.3249784852
296	0.6159811433	0.3249667051
297	0.6159811433	0.3249633424
298	0.6159123547	0.3248776773
299	0.6159270792	0.3248378344
300	0.6161852863	0.3248062224
301	0.6163393385	0.3247704223
302	0.6164951828	0.3247390735
303	0.6164871469	0.324708923
304	0.6164845889	0.3246802075
305	0.6164582862	0.3246746106
306	0.6166824302	0.3246587882
307	0.6166129852	0.3246133386
308	0.616888267	0.3245618434
309	0.6169219846	0.3245277593
310	0.6172071766	0.3244848926
311	0.6173649686	0.3244397494
312	0.6174145373	0.32440446
313	0.6174359333	0.3243508238
314	0.6173165627	0.3242959855
315	0.6175738632	0.3242581643
316	0.6179797696	0.324227915
317	0.6181556221	0.3241700742
318	0.6181556221	0.3241655663
319	0.6183061774	0.3241429181
320	0.6182662197	0.3241277034
321	0.6182952789	0.3241212299
322	0.6183537174	0.3240855197
323	0.6186761769	0.3240270418
324	0.6187945595	0.3239831917
325	0.6194591461	0.3239194919
326	0.6197762943	0.3238761073
327	0.6198020109	0.3238204293
328	0.6197791531	0.323805661
329	0.6193952622	0.3237512919
330	0.6196011972	0.3237183157
331	0.6192661193	0.3236910396
332	0.619357191	0.3236716826
333	0.6193836099	0.3236142764
334	0.6197221823	0.3235847414
335	0.6198534993	0.3235455175
336	0.619691676	0.3235244867
337	0.6197806674	0.3234921755
338	0.6197570318	0.3234734574
339	0.6199336344	0.3234308521
340	0.6200885591	0.3234105089
341	0.6199954104	0.323376278
342	0.6199813788	0.3233504769
343	0.6198022226	0.3233195031
344	0.6200287533	0.323312799
345	0.6202073385	0.3232669812
346	0.6200204869	0.3232270409
347	0.6204698533	0.3231728442
348	0.620861726	0.3231644636
349	0.6210446975	0.3231270354
350	0.6210831382	0.3230655702
351	0.621244342	0.3230630408
352	0.6213293164	0.3230307373
353	0.6215174589	0.3229743131
354	0.6215481137	0.3229293759
355	0.6213881717	0.3228952194
356	0.6216392385	0.3228580696
357	0.6220188903	0.3227865191
358	0.622149741	0.322764164
359	0.6218674753	0.3227554562
360	0.6222142518	0.3227036186
361	0.6224452334	0.3226583768
362	0.622649019	0.3226430461
363	0.6227758061	0.3225919131
364	0.6225988233	0.3225297937
365	0.6226869788	0.3224860904
366	0.6225391675	0.3224504524
367	0.6227790326	0.3224144856
368	0.6218070789	0.3223705886
369	0.622349769	0.3223425081
370	0.6220486422	0.322308413
371	0.6220758728	0.3222853341
372	0.6224913562	0.3222543031
373	0.6225377207	0.3222300919
374	0.6225029529	0.3222234115
375	0.6223643537	0.3221781735
376	0.6225174417	0.3221713421
377	0.6226164274	0.3221287536
378	0.6223395415	0.3220933888
379	0.6226599082	0.3220572416
380	0.6229068227	0.322011087
381	0.6229068227	0.3220088555
382	0.623060419	0.3219616709
383	0.623327436	0.3218936025
384	0.6233071244	0.3218711033
385	0.6234374295	0.3218330933
386	0.6236596005	0.3218096855
387	0.6235511349	0.3217168036
388	0.6241943723	0.3216830595
389	0.624029219	0.3216217152
390	0.6240744122	0.3216122638
391	0.6239670898	0.3215665555
392	0.6243249844	0.3215343745
393	0.6245198969	0.321481067
394	0.6250594095	0.3214391199
395	0.6252039019	0.3214057609
396	0.6250410403	0.3213765798
397	0.6250841017	0.3212862572
398	0.6250031241	0.3212596812
399	0.6249570139	0.3212118468
400	0.6248197904	0.3211831128
401	0.6251647495	0.3211578463
402	0.626169073	0.3211256311
403	0.6251494099	0.3210928785
404	0.6253131933	0.3210671666
405	0.6253008789	0.3210500923
406	0.6253131933	0.321018338
407	0.6253182732	0.3210151732
408	0.6253182732	0.3210151151
409	0.6253182732	0.3210148781
410	0.6255770616	0.3209732145
411	0.6256609688	0.3209641189
412	0.6261521746	0.3209253056
413	0.6267231974	0.3208705022
414	0.6267486392	0.3208351994
415	0.6268378549	0.3208132692
416	0.6266945625	0.3207856428
417	0.627376351	0.3207311995
418	0.6275990371	0.3206873323
419	0.6275548416	0.3206794589
420	0.6270338106	0.3206307477
421	0.6273314714	0.3206038355
422	0.6272090271	0.3205595562
423	0.6273110715	0.3205471463
424	0.6277462997	0.3204960207
425	0.6275737533	0.3204791677
426	0.6278709593	0.3204458458
